id,date,name
1,2022-01-01,New Year's Day
2,2022-01-07,Orthodox Christmas
3,2022-02-23,Defender of the Fatherland Day
4,2022-03-08,International Women's Day
5,2022-03-18,russian occupation of Crimea
6,2022-05-01,International Workers' Day
7,2022-05-09,Victory Day
8,2022-06-12,russia Day
9,2022-10-07,putin's Birthday
10,2022-11-04,Unity Day
11,2022-11-07,Anniversary of the Great October Socialist Revolution
12,2022-12-12,Constitution Day of the russian federation
13,2022-12-17,Strategic Missile Forces Day